artist,artist_normalized,appearance_count,country,state_region,city,current_base,gender_identity,artist_type,home_scene,genre_tags,style_tags,performance_type,instruments,languages,career_stage,labels,notable_releases,notable_collaborations,signal_status,spotify_found,soundcloud_found,bandcamp_found,apple_music_found,catalogue_signal,external_signal,website,spotify_url,soundcloud_url,bandcamp_url,apple_music_url,discovery_character,discovery_note,sources,last_verified
GOMA,goma,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Padre Bless,padre bless,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
CuddleFish,cuddlefish,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
JUST B,just b,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
NoSelf,noself,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Silver Steph,silver steph,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Ogan,ogan,4,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Reo,reo,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Ringo Muzik,ringo muzik,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Mouth Water,mouth water,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
LiO,lio,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Sequin Tiger b2b Le Fronk,sequin tiger b2b le fronk,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Curva Peligrosa,curva peligrosa,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Nicoshi,nicoshi,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Unpocoloco,unpocoloco,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
David Garcia,david garcia,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Bawab,bawab,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
BGolden,bgolden,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Kwynumbra,kwynumbra,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
alibali,alibali,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Phantasmagoria DJs,phantasmagoria djs,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Tonic Walter,tonic walter,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Kasbï,kasbï,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
LP Giobbi,lp giobbi,3,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
LALA Land,lala land,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
The Trip,the trip,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Messy Michelle and RW,messy michelle and rw,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Sassy Danger,sassy danger,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Elf,elf,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Shibumi,shibumi,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Syrcles x Patrick Piemonte,syrcles x patrick piemonte,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Syrcles x Jeff Vyduna,syrcles x jeff vyduna,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Sky So Young,sky so young,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
KalaMari,kalamari,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
DJ Dane,dj dane,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Kyfi,kyfi,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
BAAAHS x Glamcocks,baaahs x glamcocks,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Sunrise Sonder,sunrise sonder,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Grant Tyler,grant tyler,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
DUGAN,dugan,3,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
REVEL,revel,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
KaPOWski!,kapowski!,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Fouts,fouts,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Live from the Mesa,live from the mesa,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Gryphons Aerie,gryphons aerie,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Electric Waste Band,electric waste band,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
KAEZ,kaez,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Vozhd',vozhd',3,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
D1,d1,3,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Mamay,mamay,3,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Ro Rousseau,ro rousseau,3,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Third Rail,third rail,3,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Loboman,loboman,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Diablo,diablo,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
The Professor,the professor,3,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Iris,iris,3,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Fireclown,fireclown,3,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Honey Shot,honey shot,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Double Impact,double impact,3,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Blue,blue,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Cindiana Jones,cindiana jones,3,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Alaska,alaska,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Goku,goku,6,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
DJ Kaveh,dj kaveh,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Nadal Jr.,nadal jr.,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Pierre,pierre,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Sassy,sassy,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
AIWAA,aiwaa,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Pietro,pietro,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Charles Lazarus,charles lazarus,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Leon (FR),leon (fr),1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
SIMBASŌL,simbasōl,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
"Daydream, Land Ho! & Polaris Artists","daydream, land ho! & polaris artists",2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Ksukroft,ksukroft,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Yaku Means Water (Hybrid Set),yaku means water (hybrid set),3,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Alkemiss erika,alkemiss erika,3,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Gilarden b2b Hooolia,gilarden b2b hooolia,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Tagg,tagg,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Bobby Lyte,bobby lyte,3,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
GLITTA,glitta,3,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Yaz,yaz,5,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Samantha,samantha,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Andrea Castells,andrea castells,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Nevos,nevos,3,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
86Hz,86hz,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Gringo Safari,gringo safari,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Tom Sonic,tom sonic,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Frothyfukr,frothyfukr,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Ryan Das,ryan das,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Riley Love,riley love,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Zach Walker,zach walker,3,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
M*Linss,m*linss,3,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Nova Heaven,nova heaven,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Sasi,sasi,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Gabe,gabe,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Monobase,monobase,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Max Styler B2B Mishell,max styler b2b mishell,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Darco B2B Luch,darco b2b luch,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Ashara,ashara,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
DJ Reed,dj reed,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Chase Björnson,chase björnson,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Israel Acido,israel acido,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Kettu,kettu,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Funk Foxx,funk foxx,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Chris Moyles,chris moyles,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Cameron Angeli,cameron angeli,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Cambient Lounge,cambient lounge,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Levi Junkert b2b Chris Pfaff,levi junkert b2b chris pfaff,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Le Fiu,le fiu,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Conner Curnick,conner curnick,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Roberto Ristorucci,roberto ristorucci,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Autogyro,autogyro,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Sacred Echoes,sacred echoes,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Alex Dudini,alex dudini,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
I AM LEX,i am lex,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
baër,baër,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Beto Beats,beto beats,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Subsoniq,subsoniq,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Idell,idell,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
HE + SHE,he + she,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Schoenhauser,schoenhauser,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
akiika,akiika,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Mighty Misfits Camp DJs,mighty misfits camp djs,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Christian Voldstad,christian voldstad,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Iman Rizky b2b Sky So Young + Oli,iman rizky b2b sky so young + oli,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Dave DK b2b Iman Rizky,dave dk b2b iman rizky,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Amine K,amine k,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
David Hohme,david hohme,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Rodriguez Jr,rodriguez jr,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
